model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,2018.0,47668.0,41200.0,"Rockville, MD",75D All-Wheel Drive,Enhanced Autopilot,Previously Repaired,Silver Metallic Paint,"19"" Silver Slipstream Wheels",$606 /mo,93311,Black Textile Interior,MD
Model S,2018.0,38966.0,42000.0,"Lawrence Township, NJ",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Silver Slipstream Wheels",$621 /mo,93311,All Black Premium Interior,NJ
Model S,2018.0,40811.0,42700.0,"Rockville, MD",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",$633 /mo,93311,Cream Premium Interior,MD
Model S,2018.0,31239.0,42900.0,"Savannah, GA",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",$637 /mo,93311,Black Premium Interior,GA
Model S,2018.0,31240.0,44100.0,"Franklin, TN",100D Long Range All-Wheel Drive,Enhanced Autopilot,Previously Repaired,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",$658 /mo,93311,All Black Premium Interior,TN
Model S,2018.0,66754.0,45000.0,"Rogers, MN",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"19"" Silver Slipstream Wheels",$674 /mo,93311,All Black Premium Interior,MN
Model S,2018.0,26886.0,47500.0,"Available to view in Vienna, VA",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$719 /mo,93311,All Black Premium Interior,VA
Model S,2018.0,48618.0,48800.0,"Orlando, FL",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheel",$743 /mo,93311,All Black Premium Interior,FL
Model S,2018.0,46081.0,53000.0,"BOSTON, MA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$818 /mo,93311,Cream Premium Interior,MA
Model S,2018.0,36438.0,53300.0,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,93311,Cream Premium Interior,CA
Model S,2018.0,30180.0,59200.0,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,93311,Black Premium Interior,CA
Model S,2018.0,36438.0,53300.0,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,95403,Cream Premium Interior,CA
Model S,2018.0,30180.0,59200.0,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,95403,Black Premium Interior,CA
Model S,,63298.0,40400.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419.0,42400.0,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841.0,43300.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244.0,46100.0,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85209,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821.0,47100.0,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551.0,48100.0,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85209,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055.0,51500.0,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298.0,40400.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85251,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419.0,42400.0,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85251,All Black Premium Interior with Figured Ash Wood Décor,IL
