model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,15604.0,55800.0,"Lawrence Township, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$869 /mo,95403,Black and White Premium Interior with Dark Ash Wood Décor,NJ
Model S,,35236.0,55800.0,"Orlando, FL",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$869 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,18720.0,56000.0,"Available to view in UPLAND, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$872 /mo,95403,Cream Premium Interior with Oak Wood Décor,CA
Model S,,37443.0,56400.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$880 /mo,95403,Cream Premium Interior with Oak Wood Décor,CA
Model S,,27404.0,56500.0,"Temecula, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$881 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,13138.0,56800.0,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$887 /mo,95403,Cream Premium Interior with Oak Wood Décor,MN
Model S,,25297.0,56900.0,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$889 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,27702.0,57200.0,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$894 /mo,95403,Black and White Premium Interior with Dark Ash Wood Décor,GA
Model S,,34506.0,57900.0,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$907 /mo,95403,Cream Premium Interior with Oak Wood Décor,MD
Model S,,16444.0,58400.0,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Solid Black Paint,19'' Tempest Wheels,$915 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,15063.0,58700.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$921 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,14721.0,59100.0,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$928 /mo,95403,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,16870.0,59600.0,"Lawrence Township, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19'' Tempest Wheels,$937 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,NJ
Model S,,30024.0,59700.0,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$939 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,33215.0,60200.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$948 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,30146.0,60300.0,"Walnut, CA",Model S Performance All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$950 /mo,95403,Black and White Premium Interior with Carbon Fiber Décor,CA
Model S,,13149.0,61200.0,"Decatur, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$966 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,42094.0,62100.0,"Temecula, CA",Model S Performance All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$982 /mo,95403,Black and White Premium Interior with Carbon Fiber Décor,CA
Model S,,22608.0,62100.0,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$982 /mo,95403,Cream Premium Interior with Oak Wood Décor,MD
Model S,,23333.0,63000.0,"Rogers, MN",Model S Performance All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$998 /mo,95403,Cream Premium Interior with Oak Wood Décor,MN
Model S,,15242.0,63800.0,"Paramus, NJ",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,013 /mo",95403,Black and White Premium Interior with Dark Ash Wood Décor,NJ
Model S,,9644.0,64200.0,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,"$1,020 /mo",95403,All Black Premium Interior with Figured Ash Wood Décor,MN
Model S,,22773.0,68200.0,,Model S Performance All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,092 /mo",95403,All Black Premium Interior with Carbon Fiber Décor,
Model S,,11800.0,65200.0,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",91301,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,17927.0,83600.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,369 /mo",91301,All Black Premium Interior with Ebony Décor,CA
Model S,,17964.0,84600.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,387 /mo",91301,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,59393.0,52200.0,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$804 /mo,91301,Cream Premium Interior with Oak Wood Décor,GA
Model S,,26281.0,58500.0,"FORT MYERS, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"21"" Sonic Carbon Twin Turbine Wheels",$917 /mo,91301,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,11800.0,65200.0,"Available to view in Colma, CA",,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",91301,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,28658.0,72700.0,"Rockville, MD",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,173 /mo",91301,Cream Premium Interior with Walnut Décor,MD
Model S,,23273.0,74600.0,"Rogers, MN",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,207 /mo",91301,All Black Premium Interior with Ebony Décor,MN
Model S,,14754.0,78500.0,"Available to view in Tampa, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Tempest Wheels","$1,277 /mo",91301,All Black Premium Interior with Carbon Fiber Décor,FL
Model S,,17422.0,80900.0,"Available to view in Maplewood, MN",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,320 /mo",91301,All Black Premium Interior with Carbon Fiber Décor,MN
Model S,,10084.0,82800.0,"Fort Myers, FL",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,354 /mo",91301,All Black Premium Interior with Ebony Décor,FL
Model S,,12435.0,86200.0,,,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,416 /mo",91301,All Black Premium Interior with Carbon Fiber Décor,
Model S,,11800.0,65200.0,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",91801,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,17927.0,83600.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,369 /mo",91801,All Black Premium Interior with Ebony Décor,CA
Model S,,17964.0,84600.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,387 /mo",91801,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,59393.0,52200.0,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$804 /mo,91801,Cream Premium Interior with Oak Wood Décor,GA
Model S,,26281.0,58500.0,"FORT MYERS, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"21"" Sonic Carbon Twin Turbine Wheels",$917 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,11800.0,65200.0,"Available to view in Colma, CA",,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",91801,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,28658.0,72700.0,"Rockville, MD",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,173 /mo",91801,Cream Premium Interior with Walnut Décor,MD
Model S,,23273.0,74600.0,"Rogers, MN",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,207 /mo",91801,All Black Premium Interior with Ebony Décor,MN
Model S,,14754.0,78500.0,"Available to view in Tampa, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Tempest Wheels","$1,277 /mo",91801,All Black Premium Interior with Carbon Fiber Décor,FL
Model S,,17422.0,80900.0,"Available to view in Maplewood, MN",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,320 /mo",91801,All Black Premium Interior with Carbon Fiber Décor,MN
Model S,,10084.0,82800.0,"Fort Myers, FL",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,354 /mo",91801,All Black Premium Interior with Ebony Décor,FL
Model S,,12435.0,86200.0,,,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,416 /mo",91801,All Black Premium Interior with Carbon Fiber Décor,
Model S,,11800.0,65200.0,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",93311,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,17927.0,83600.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,369 /mo",93311,All Black Premium Interior with Ebony Décor,CA
Model S,,17964.0,84600.0,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,387 /mo",93311,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,59393.0,52200.0,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$804 /mo,93311,Cream Premium Interior with Oak Wood Décor,GA
Model S,,26281.0,58500.0,"FORT MYERS, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"21"" Sonic Carbon Twin Turbine Wheels",$917 /mo,93311,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,11800.0,65200.0,"Available to view in Colma, CA",,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",93311,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,28658.0,72700.0,"Rockville, MD",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,173 /mo",93311,Cream Premium Interior with Walnut Décor,MD
Model S,,23273.0,74600.0,"Rogers, MN",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,207 /mo",93311,All Black Premium Interior with Ebony Décor,MN
Model S,,14754.0,78500.0,"Available to view in Tampa, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Tempest Wheels","$1,277 /mo",93311,All Black Premium Interior with Carbon Fiber Décor,FL
Model S,,17422.0,80900.0,"Available to view in Maplewood, MN",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,320 /mo",93311,All Black Premium Interior with Carbon Fiber Décor,MN
Model S,,10084.0,82800.0,"Fort Myers, FL",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,354 /mo",93311,All Black Premium Interior with Ebony Décor,FL
Model S,,12435.0,86200.0,,,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,416 /mo",93311,All Black Premium Interior with Carbon Fiber Décor,
Model S,,11800.0,65200.0,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels","$1,038 /mo",95403,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,59393.0,52200.0,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$804 /mo,95403,Cream Premium Interior with Oak Wood Décor,GA
Model S,,26281.0,58500.0,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"21"" Sonic Carbon Twin Turbine Wheels",$917 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,28658.0,72700.0,"Rockville, MD",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,173 /mo",95403,Cream Premium Interior with Walnut Décor,MD
Model S,,23273.0,74600.0,"Rogers, MN",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,207 /mo",95403,All Black Premium Interior with Ebony Décor,MN
Model S,,14754.0,78500.0,"Available to view in Tampa, FL",,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Tempest Wheels","$1,277 /mo",95403,All Black Premium Interior with Carbon Fiber Décor,FL
Model S,,17422.0,80900.0,"Available to view in Maplewood, MN",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,320 /mo",95403,All Black Premium Interior with Carbon Fiber Décor,MN
Model S,,10084.0,82800.0,"Walnut, CA",,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,354 /mo",95403,All Black Premium Interior with Ebony Décor,CA
Model S,,17927.0,83600.0,"Walnut, CA",,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,369 /mo",95403,All Black Premium Interior with Ebony Décor,CA
Model S,,17964.0,84600.0,"Fort Myers, FL",,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheels","$1,387 /mo",95403,All Black Premium Interior with Carbon Fiber Décor,FL
Model S,,12435.0,86200.0,,,Full Self-Driving Capability,No Reported Accidents/Damage,Solid Black Paint,"21"" Arachnid Wheels","$1,416 /mo",95403,All Black Premium Interior with Carbon Fiber Décor,
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85209,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85251,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85254,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85260,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85281,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85305,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",85704,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",91301,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",91801,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",93311,All Black Premium Interior with Carbon Fiber Décor,CA
Model S,,21312.0,77100.0,"Colma, CA",,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Arachnid Wheels","$1,252 /mo",95403,All Black Premium Interior with Carbon Fiber Décor,CA
Model X,2018.0,29858.0,57100.0,"Available to view in RENTON, WA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Sonic Carbon Wheels",$892 /mo,85209,All Black Premium Interior,WA
Model X,2018.0,33020.0,46600.0,"LONG BEACH, CA",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$703 /mo,85254,All Black Premium Interior,CA
Model X,2018.0,33382.0,46800.0,"Available to view in Lawrence Township, NJ",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Obsidian Black Metallic Paint,"20"" Silver Wheels",$707 /mo,85254,All Black Premium Interior,NJ
Model X,2018.0,45395.0,47100.0,"Walnut, CA",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$712 /mo,85254,All Black Premium Interior,CA
Model X,2018.0,24487.0,48600.0,"LONG BEACH, CA",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"20"" Silver Wheels",$739 /mo,85254,Black Textile Interior,CA
Model X,2018.0,49895.0,49300.0,"Temecula, CA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"22"" Onyx Black Wheels",$752 /mo,85254,Black and White Premium Interior,CA
Model X,2018.0,18721.0,50800.0,"Available to view in Lawrence Township, NJ",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$779 /mo,85254,Cream Premium Interior,NJ
Model X,2018.0,41895.0,51700.0,"Vienna, VA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Sonic Carbon Wheels",$795 /mo,85254,Cream Premium Interior,VA
Model X,2018.0,29668.0,52400.0,"Available to view in Tampa, FL",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$808 /mo,85254,Cream Premium Interior,FL
Model X,2018.0,27927.0,58300.0,"Rockville, MD",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$914 /mo,85254,Black and White Premium Interior,MD
Model X,2018.0,88123.0,44100.0,"Marietta, GA",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$658 /mo,85254,Cream Premium Interior,GA
Model X,2018.0,61874.0,47500.0,"Available to view in Colma, CA",100D Long Range All-Wheel Drive,Enhanced Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"20"" Sonic Carbon Wheels",$719 /mo,85254,Black and White Premium Interior,CA
Model X,2018.0,44067.0,56900.0,"Orlando, FL",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"22"" Onyx Black Wheels",$889 /mo,85254,Black and White Premium Interior,FL
Model X,2018.0,57890.0,41200.0,"Elk Grove Village, IL",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"20"" Silver Wheels",$606 /mo,85254,Black and White Premium Interior,IL
Model X,2018.0,59222.0,48800.0,"CHERRY HILL, NJ",75D All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$743 /mo,85254,Black and White Premium Interior,NJ
Model X,2018.0,44208.0,56500.0,"Rockville, MD",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$881 /mo,85254,All Black Premium Interior,MD
Model X,2018.0,29858.0,57100.0,"Available to view in RENTON, WA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Sonic Carbon Wheels",$892 /mo,85254,All Black Premium Interior,WA
Model X,2018.0,57890.0,41200.0,"Elk Grove Village, IL",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"20"" Silver Wheels",$606 /mo,85305,Black and White Premium Interior,IL
Model X,2018.0,59222.0,48800.0,"CHERRY HILL, NJ",75D All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$743 /mo,85305,Black and White Premium Interior,NJ
Model X,2018.0,44208.0,56500.0,"Rockville, MD",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$881 /mo,85305,All Black Premium Interior,MD
Model X,2018.0,29858.0,57100.0,"Available to view in RENTON, WA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Sonic Carbon Wheels",$892 /mo,85305,All Black Premium Interior,WA
Model X,2018.0,33020.0,46600.0,"LONG BEACH, CA",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$703 /mo,85305,All Black Premium Interior,CA
Model X,2018.0,33382.0,46800.0,"Available to view in Lawrence Township, NJ",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Obsidian Black Metallic Paint,"20"" Silver Wheels",$707 /mo,85305,All Black Premium Interior,NJ
Model X,2018.0,45395.0,47100.0,"Walnut, CA",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$712 /mo,85305,All Black Premium Interior,CA
Model X,2018.0,24487.0,48600.0,"LONG BEACH, CA",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"20"" Silver Wheels",$739 /mo,85305,Black Textile Interior,CA
Model X,2018.0,49895.0,49300.0,"Temecula, CA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"22"" Onyx Black Wheels",$752 /mo,85305,Black and White Premium Interior,CA
Model X,2018.0,18721.0,50800.0,"Available to view in Lawrence Township, NJ",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$779 /mo,85305,Cream Premium Interior,NJ
Model X,2018.0,41895.0,51700.0,"Vienna, VA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Sonic Carbon Wheels",$795 /mo,85305,Cream Premium Interior,VA
Model X,2018.0,29668.0,52400.0,"Available to view in Tampa, FL",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$808 /mo,85305,Cream Premium Interior,FL
Model X,2018.0,27927.0,58300.0,"Rockville, MD",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$914 /mo,85305,Black and White Premium Interior,MD
Model X,2018.0,88123.0,44100.0,"Marietta, GA",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$658 /mo,85305,Cream Premium Interior,GA
Model X,2018.0,61874.0,47500.0,"Available to view in Colma, CA",100D Long Range All-Wheel Drive,Enhanced Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"20"" Sonic Carbon Wheels",$719 /mo,85305,Black and White Premium Interior,CA
Model X,2018.0,44067.0,56900.0,"Orlando, FL",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"22"" Onyx Black Wheels",$889 /mo,85305,Black and White Premium Interior,FL
Model X,2018.0,33020.0,46600.0,"LONG BEACH, CA",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"20"" Silver Wheels",$703 /mo,91801,All Black Premium Interior,CA
Model X,2018.0,45395.0,47100.0,"Walnut, CA",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"20"" Silver Wheels",$712 /mo,91801,All Black Premium Interior,CA
